,name,tags
110,"Fortune Xpert Pro Sugar Conscious Edible Oil, Pouch, 1 L",grocery & gourmet foods grocery & gourmet foods 4.3 ₹167 ₹199
111,"Colgate Kids Strawberry 40g Toothpaste, Cavity Protection",grocery & gourmet foods grocery & gourmet foods 4.4 ₹61 ₹62
112,"JIWA healthy by nature Gluten Free Atta/Flour, 1Kg",grocery & gourmet foods grocery & gourmet foods 3.9 ₹150 ₹199
113,"Amazon Brand - Solimo Durum Wheat Spaghetti Pasta, 500g pack of 2",grocery & gourmet foods grocery & gourmet foods 4.3 ₹165 ₹396
114,Keya Arabian Sea Salt 1kg…,grocery & gourmet foods grocery & gourmet foods 4.3 ₹160 ₹290
115,More Brown Rice Loose 1 Kg,grocery & gourmet foods grocery & gourmet foods 3.9 ₹170 ₹200
116,"Amazon Brand - Solimo Premium Cashews, 250 g",grocery & gourmet foods grocery & gourmet foods 4.3 ₹299 ₹435
117,PILGRIM Korean 5% Vitamin C Face Serum (Oil Based) for glowing skin with Hyaluronic acid | Vitamin c serum for radiant ski...,grocery & gourmet foods grocery & gourmet foods 3.9 ₹397 ₹550
118,"Keya Italian Pizza Oregano 80gm, Pack 2",grocery & gourmet foods grocery & gourmet foods 4.6 ₹175 ₹218
119,"Nutty Gritties Premium Mix Berries Dried Fruits Berry 200g - Dried Cranberries, Blueberries, Strawberries, Black Currants...",grocery & gourmet foods grocery & gourmet foods 4.1 ₹329 ₹390
120,Anveshan Wood Pressed Coconut Oil - 1 Litre | Plastic Bottle | Kolhu/Kacchi Ghani/Chekku | Natural | Chemical-Free | Cold ...,grocery & gourmet foods grocery & gourmet foods 4.5 ₹499 ₹679
121,"Unibic Snack bar  Fruit & Nut 360g Pack of 12, 360g",grocery & gourmet foods grocery & gourmet foods 4 ₹240 ₹480
122,"Puvi 1L Cold Pressed Gingelly / Sesame Oil (Virgin, Chekku / Ghani) - 1 Litre",grocery & gourmet foods grocery & gourmet foods 4.5 ₹599 ₹700
123,SFT Baking Soda 1 Kg,grocery & gourmet foods grocery & gourmet foods 4.1 ₹167 ₹325
124,"Dhara Filtered Ground Nut Oil Jar, 5L","grocery & gourmet foods grocery & gourmet foods 4.3 ₹1,120 ₹1,300"
125,Yogabar Choco Cereal 345g | No Maida Chocos for Kids | Delicious Chocolate Chocos | Healthy Protein Food & Breakfast Cerea...,grocery & gourmet foods grocery & gourmet foods 4.6 ₹99 ₹180
126,"ITC Master Chef Desi Style Chicken Patty, 330 g| Non-Veg Frozen Snack| Ready to Cook",grocery & gourmet foods grocery & gourmet foods 4.3 ₹133 ₹190
127,Auric A2 Desi Cow Ghee | Vedic Bilona Method | Traditional Curd Churned | Lab Tested | Organically Made Danedar Ghee | Gra...,"grocery & gourmet foods grocery & gourmet foods 4.2 ₹1,425.60 ₹2,400"
128,CowGold Desi Cow A2 Ghee (Sahiwal & Rathi Cow) Bilona Method 1 litre,"grocery & gourmet foods grocery & gourmet foods 3.9 ₹1,153 ₹1,495"
129,"Slurrp Farm Healthy Breakfast and Snacks Trial Pack Combo, Millet Pancake and Dosa Mix, 300g (Pack of 6, 50g each)",grocery & gourmet foods grocery & gourmet foods 4 ₹279 ₹349
130,True Elements Roasted Flax Seeds Salted Crunch 250g - Flax Seeds for Eating | Diet Snacks | High in Fibre,grocery & gourmet foods grocery & gourmet foods 4.2 ₹130 ₹150
131,"KLF Nirmal 100% Pure Coconut Oil, 1L Jar",grocery & gourmet foods grocery & gourmet foods 4.4 ₹340 ₹390
